route,position,node,mu_arrival,sigma_arrival,lat,slack_min,p_late,high_risk
2,14,31,185.5,4.39,180,-5.5,0.8947,True
4,16,51,186.5,7.0,180,-6.5,0.8235,True
5,11,69,176.0,9.59,180,4.0,0.3384,True
5,10,72,159.83,9.58,180,20.17,0.0177,False
4,1,5,28.67,6.0,300,271.33,0.0,False
4,15,21,173.5,6.8,300,126.5,0.0,False
4,14,49,162.5,6.76,300,137.5,0.0,False
4,13,47,156.33,6.76,300,143.67,0.0,False
4,12,48,150.33,6.75,300,149.67,0.0,False
4,11,46,143.33,6.75,300,156.67,0.0,False
4,10,41,129.33,6.61,360,230.67,0.0,False
4,9,43,119.17,6.61,360,240.83,0.0,False
4,2,56,38.83,6.02,300,261.17,0.0,False
4,17,35,199.5,7.0,300,100.5,0.0,False
4,7,60,99.83,6.53,300,200.17,0.0,False
4,6,57,85.0,6.27,300,215.0,0.0,False
4,5,58,70.83,6.27,180,109.17,0.0,False
4,4,54,59.17,6.19,300,240.83,0.0,False
4,3,59,50.33,6.13,300,249.67,0.0,False
4,8,42,110.17,6.61,360,249.83,0.0,False
4,18,22,206.83,7.01,300,93.17,0.0,False
3,2,77,52.67,5.1,360,307.33,0.0,False
4,19,50,214.83,7.01,300,85.17,0.0,False
5,9,61,146.17,9.53,360,213.83,0.0,False
5,8,74,137.0,9.53,360,223.0,0.0,False
5,7,73,126.83,9.53,360,233.17,0.0,False
5,6,78,115.17,9.47,300,184.83,0.0,False
5,5,76,105.17,9.47,360,254.83,0.0,False
5,4,18,69.33,6.88,180,110.67,0.0,False
5,3,12,57.0,6.68,300,243.0,0.0,False
5,2,17,49.0,6.67,300,251.0,0.0,False
5,1,14,33.83,6.5,300,266.17,0.0,False
4,25,71,284.0,7.37,360,76.0,0.0,False
4,24,70,273.83,7.37,360,86.17,0.0,False
4,23,62,257.17,7.24,360,102.83,0.0,False
4,22,75,248.0,7.24,360,112.0,0.0,False
4,21,44,235.83,7.15,300,64.17,0.0,False
4,20,45,226.17,7.14,300,73.83,0.0,False
3,3,7,86.83,7.5,180,93.17,0.0,False
1,1,9,20.33,2.33,300,279.67,0.0,False
1,2,3,26.67,2.36,300,273.33,0.0,False
1,11,1,96.83,2.98,300,203.17,0.0,False
2,3,26,43.0,2.13,180,137.0,0.0,False
2,2,4,33.67,2.03,300,266.33,0.0,False
2,1,2,19.33,2.0,180,160.67,0.0,False
1,15,16,138.17,3.64,180,41.83,0.0,False
1,14,11,130.0,3.61,300,170.0,0.0,False
1,13,15,117.67,3.46,300,182.33,0.0,False
1,12,10,107.0,3.2,300,193.0,0.0,False
1,10,8,89.17,2.9,300,210.83,0.0,False
2,24,27,300.67,6.24,360,59.33,0.0,False
1,9,68,74.0,2.48,300,226.0,0.0,False
1,8,64,66.67,2.46,300,233.33,0.0,False
1,7,13,58.33,2.44,300,241.67,0.0,False
1,6,67,51.5,2.43,300,248.5,0.0,False
1,5,66,46.17,2.41,300,253.83,0.0,False
1,4,63,40.83,2.39,300,259.17,0.0,False
1,3,65,35.67,2.38,300,264.33,0.0,False
2,4,28,66.67,3.68,180,113.33,0.0,False
2,5,25,83.17,3.77,300,216.83,0.0,False
2,6,53,90.33,3.81,180,89.67,0.0,False
2,7,52,104.83,3.84,180,75.17,0.0,False
2,23,24,288.67,6.23,360,71.33,0.0,False
2,22,36,267.5,4.91,300,32.5,0.0,False
2,21,37,258.5,4.9,300,41.5,0.0,False
2,20,38,251.5,4.88,300,48.5,0.0,False
2,19,39,245.17,4.87,300,54.83,0.0,False
2,18,40,239.0,4.87,300,61.0,0.0,False
2,17,34,223.33,4.58,300,76.67,0.0,False
2,16,33,212.17,4.55,300,87.83,0.0,False
2,15,32,198.67,4.4,300,101.33,0.0,False
2,13,30,176.33,4.39,360,183.67,0.0,False
2,12,29,170.83,4.36,300,129.17,0.0,False
2,11,20,153.67,4.28,180,26.33,0.0,False
2,10,55,134.0,3.94,180,46.0,0.0,False
2,9,19,126.67,3.93,300,173.33,0.0,False
2,8,23,118.33,3.87,300,181.67,0.0,False
3,1,6,21.67,1.0,360,338.33,0.0,False
